function_name,input,expected_output
any_value,,
approx_top_k,,
approximate_count_distinct,,
approximate_jaccard_index,,
approximate_similarity,,
array_agg,coffee,"coffee, iced tea, latte, tea"
array_agg,iced tea,"coffee, iced tea, latte, tea"
array_agg,latte,"coffee, iced tea, latte, tea"
array_agg,tea,"coffee, iced tea, latte, tea"
array_append,,
array_cat,"coffee, iced tea","coffee, iced tea, latte, tea"
array_cat,"latte,tea","coffee, iced tea, latte, tea"
array_compact,,
array_construct,,
array_construct_compact,,
array_insert,,
array_intersection,,
array_size,,
array_slice,,
array_to_string,,
arrayagg,,
as_char,,
as_date,,
as_integer,,
as_number,,
as_varchar,,
base64_decode_binary,,
base64_decode_string,,
base64_encode,,
bitand,,
booland_agg,,
boolor_agg,,
boolxor_agg,,
charindex,,
check_json,,
compress,,
contains,coffee,FALSE
contains,iced tea,TRUE
contains,latte,TRUE
contains,tea,TRUE
contains,NULL,NULL
control.harmonize_compact,,
convert_timezone,,
date_from_parts,"{""col1"":""2023"",""col2"":""01"",""col3"":""10""}",10/1/2023
dateadd,"{""col1"":""day"",""col2"":""7"",""col3"":""2023-01-10""}",17/1/2023
dateadd,"{""col1"":""minute"",""col2"":""11"",""col3"":""2023-01-10 7:13""}",10/1/2023 7:24
dayname,3/5/2023,Wed
dayname,8/5/2023 11:15,Mon
dayofweekiso,3/5/2023,3
dayofweekiso,8/5/2023 11:15,1
decrypt,,
div0,,
editdistance,,
encrypt,,
endswith,,
enrich_placement_ad_type,,
equal_null,,
get,,
get_ddl,,
get_path,,
getdate,,
hash_agg,,
hex_decode_binary,,
hex_decode_string,,
hll,,
hll_estimate,,
hll_export,,
hll_import,,
iff,,
ilike,,
insert,,
is_boolean,,
is_date,,
is_integer,,
is_null_value,,
is_real,,
is_role_in_session,,
json_extract_path_text,,
last_query_id,,
last_transaction,,
len,,
listagg,,
md5_binary,Snowflake,EDF1439075A83A447FB8B630DDC9C8DE
md5_hex,,
md5_number_lower64,,
md5_number_upper64,,
median,,
minhash,,
minhash_combine,,
mode,,
monthname,1/5/2015,May
monthname,3/4/2015 10:00,Apr
nullifzero,,
object_agg,,
object_construct,,
object_delete,,
object_insert,,
object_keys,,
objectagg,,
parse_json,,
parse_xml,,
percentile_cont,,
percentile_disc,,
previous_day,,
randstr,,
ratio_to_report,,
regexp,,
regexp_count,,
regexp_instr,,
regexp_like,,
regexp_substr,,
seq1,,
seq2,,
seq4,,
seq8,,
sha1_hex,,
sha2_binary,,
sha2_hex,,
split_part,"{11.22.33, ""."", 0}",11
split_part,"{11.22.33, ""."", 1}",11
split_part,"{11.22.33, ""."", 2}",22
split_part,"{11.22.33, ""."", 3}",33
split_part,"{11.22.33, ""."", 4}",
split_part,"{11.22.33, ""."", -1}",33
split_part,"{11.22.33, ""."", -2}",22
split_part,"{11.22.33, ""."", -3}",11
split_part,"{11.22.33, ""."", -4}",
square,,
st_intersects,,
standardize,,
startswith,coffee,FALSE
startswith,iced tea,FALSE
startswith,latte,FALSE
startswith,tea,TRUE
startswith,NULL,NULL
strtok,,
strtok_to_array,"{""col1:""a.b.c"",""col2"", "".""}","[""a"", ""b"", ""c""]"
strtok_to_array,"{""col1"":""user@snowflake.com"", ""col2"":"".@""}","[""user"",""snowflake"",""com""]"
sysdate,,
systimestamp,,
time,,
time_slice,,
timeadd,"{""col1"":""year"", ""col2"":2, ""col3"":""2013-05-08""}","""2015-05-08"""
timeadd,"{""col1"":""hour"", ""col2"":2, ""col3"": ""2013-04-05 02:00:00.000""}","""2015-05-08"""
timediff,"{""col1"":""year"", ""col2"":""2017-01-01"",""col3"":""2019-01-01""}",2
timediff,"{""col1"":""month"", ""col2"":""2017-01-01"", ""col3"":""2017-12-31""}",11
timestamp_from_parts,,
timestamp_ntz_from_parts,,
timestampadd,"{""col1"":year"", ""col2"": 2, ""col3"":""2013-05-08""}","""2015-05-08"""
timestampadd,"{""col1"":""hour"", ""col2"":2, ""col3"":""2013-04-05 00:00:00.000""}","""2013-04-05 02:00:00"""
timestampdiff,"{""col1"":""year"",""col2"": ""2017-01-01"",""col3"": ""2019-01-01""}",2
timestampdiff,"{""col1"":""month"", ""col2"":""2017-01-01"",""col3"": ""2017-12-31""}",11
to_array,1,[1]
to_array,3,[3]
to_binary,"(""col1"": ""SNOW"", ""col2"":utf-8"")",534E4F57
to_boolean,yes,TRUE
to_boolean,no,FALSE
to_boolean,NULL,NULL
to_boolean,1,TRUE
to_boolean,0,FALSE
to_boolean,NULL,NULL
to_char,"{""col1"":'2013-04-05 01:02:03', ""col2"":'mm/dd/yyyy', ""col3"":'hh23:mi hours'}","{""col1"":'04/05/2013', ""col2"":'01:02 hours'}"
to_char,"{""col1"":""03-May-2013""}",3/5/2013
to_char,"{""col1"":""03-May-2013"", ""col2"":""yyyy.mm.dd""}",2013.05.03
to_number,12.3456,12
to_number,98.76546,99
to_number,"{12.3456, 10, 1}",12.3
to_number,"{98.76546, 10, 1}",98.8
to_number,"{12.3456, 10, 8}",12.3456
to_number,"{98.76546, 10, 8}",98.7645
to_double,,
to_geography,,
to_decimal,1,
to_decimal,-12.3,
to_decimal,0,
to_decimal,-0.1,
to_decimal,"{1, '99.9', 9, 5}",1.00000'
to_decimal,"{-12.3, '99.9', 9, 5}",-12.30000'
to_decimal,"{0.0, '99.9', 9, 5}",0.00000'
to_decimal,"{-0.1, '99.9', 9, 5}",-0.10000'
to_decimal,"{1, 'TM9', 9, 5}",1.00000'
to_decimal,"{1, 'TM9', 9, 5}",-12.30000'
to_decimal,"{1, 'TM9', 9, 5}",0.00000'
to_decimal,"{1, 'TM9', 9, 5}",-0.10000'
to_numeric,12.3456,12
to_numeric,98.76546,99
to_numeric,"{12.3456, 10, 1}",12.3
to_numeric,"{98.76546, 10, 1}",98.8
to_numeric,"{12.3456, 10, 8}",12.3456
to_numeric,"{98.76546, 10, 8}",98.7645
to_object,,
to_time,"{""col"":'13:30:00'}",13:30:00'
